Year,Continent_Name,CO2 Emission,GDP,Temperature Change
2002,Oceania,44835.733,856613393279.854,0.6935836282882722
2002,South America,828.196,3585613028682.8174,0.7085
2003,Africa,962.6229999999999,2690286426271.3066,0.9829328703703696
2003,Asia,150784.8070000001,26904040570314.746,0.5821463414634139
2003,Europe,6854.278,18787468040433.46,0.9835043731778436
2003,North America,7163.665,16760507350430.332,0.9657016806722682
2003,Oceania,46642.82700000001,889013804895.56,0.557227941176471
2003,South America,831.393,3684590597297.162,0.7713
2004,Africa,1031.025,2895721993316.4917,0.8132453703703699
2004,Asia,156584.388,28869001510506.246,0.9071219512195117
2004,Europe,6905.016000000001,19681602597459.02,0.9626472303206987
2004,North America,7276.8060000000005,17408398389557.877,0.6687788235294115
2004,Oceania,48258.688,929796678966.622,0.47069175696594445
2004,South America,840.07,3977296286677.4736,0.7018000000000001
2005,Africa,1048.2119999999998,3125709638901.748,1.0461847643097644
2005,Asia,160532.048,30934555899949.51,0.7247073170731694
2005,Europe,6932.494,20493028419744.344,0.9030758017492718
2005,North America,7325.425,18004693009191.348,0.9288799999999997
2005,Oceania,49306.27400000001,964200045008.7429,0.6335042569659447
2005,South America,879.837,4212306832315.165,0.7847999999999998
2006,Africa,1086.783,3379478119980.768,0.8657889309764304
2006,Asia,165379.43599999996,33331294039550.523,0.984219512195124
2006,Europe,7073.071000000001,21614593275630.53,1.033061224489797
2006,North America,7260.245,18556726331394.51,0.8744000000000005
2006,Oceania,50633.17499999999,996094035067.4979,0.5280404411764709
2006,South America,888.525,4484630268101.08,0.7732
2007,Africa,1128.5280000000002,3676483455638.6587,0.8777870370370374
2007,Asia,169125.74700000003,35822029037455.57,0.8783658536585365
2007,Europe,7054.549999999999,22754013096490.26,1.6663469387755097
2007,North America,7370.5419999999995,18951945931212.1,0.8947199999999996
2007,Oceania,51646.84200000002,1046358563406.054,0.77741544117647
2007,South America,905.8879999999999,4820850340172.152,0.5011
2008,Africa,1181.5059999999999,3975983773723.418,0.7793078703703696
2008,Asia,171959.306,37389949732239.84,0.7487804878048789
2008,Europe,6976.776999999999,23308743497686.734,1.346938775510204
2008,North America,7166.86,18982113458626.605,0.5058799999999999
2008,Oceania,52321.527999999984,1074224736455.822,0.4774586282882717
2008,South America,974.0149999999999,5096597438257.979,0.6622000000000002
2009,Africa,1192.5369999999998,4213517286933.7686,0.9502472643097645
2009,Asia,167851.5100000001,38436337211049.68,0.8707804878048789
2009,Europe,6462.0650000000005,22394385015197.6,1.258653061224491
2009,North America,6674.521,18457361680671.816,0.7183199999999996
2009,Oceania,50799.567,1097758861302.164,0.5081966911764701
2009,South America,960.6800000000001,5076737642066.088,0.9344
2010,Africa,1213.858,4563869279131.482,1.3509555976430978
2010,Asia,176113.7030000002,41667456331828.05,1.5182682926829305
2010,Europe,6713.876000000001,23262469652424.848,0.8710204081632656
2010,North America,6890.102999999999,19000084840622.223,1.15252
2010,Oceania,53174.197,1129692567385.671,0.8044779411764713
2010,South America,1051.882,5458662237407.059,0.8057
2011,Africa,1241.9739999999997,4701376376628.507,0.9662708333333329
2011,Asia,180848.84300000014,44114638891736.55,0.715999999999999
2011,Europe,6652.759,24078603071197.586,1.0640204081632658
2011,North America,6787.74,19394041613927.184,0.7068000000000003
2011,Oceania,54336.034,1164468994076.962,0.6106029411764703
2011,South America,1064.185,5770846811561.562,0.6585
2012,Africa,1249.885,4970535019476.34,0.8023664772727274
2012,Asia,183844.67499999993,45962532068135.08,0.8203976670201467
2012,Europe,6623.322,24200600027875.094,1.345326530612246
2012,North America,6604.234,19848971417906.27,0.7988800000000001
2012,Oceania,55094.23599999998,1206126417402.194,0.6086572890025578
2012,South America,1130.0079999999998,5919028199746.292,0.8681000000000001
2013,Africa,1267.9119999999998,5091160009465.936,0.9736060606060596
2013,Asia,183493.84000000014,48126743836456.8,1.0190487804878066
2013,Europe,6465.734,24427838022899.13,1.040795918367346
2013,North America,6751.747,20190174415251.137,0.8882399999999998
2013,Oceania,54928.459,1232062066855.442,0.8654779411764713
2013,South America,1157.763,6200598093277.088,0.6948
2014,Africa,1358.7020000000005,5317884710806.695,0.9751685606060595
2014,Asia,183598.80500000008,50312339676524.37,0.907707317073172
2014,Europe,6283.813000000001,24872204375945.992,1.8441428571428562
2014,North America,6792.277,20666741397909.9,0.8340800000000002
2014,Oceania,54858.196999999986,1266547628251.603,0.781665441176471
2014,South America,1193.902,6223611926998.466,1.0587000000000002
2015,Africa,1312.651,5505203051675.614,1.212960227272726
2015,Asia,184319.61999999988,51950346006967.76,1.2957073170731714
2015,Europe,6318.284000000002,25166859297465.97,1.6414489795918374
2015,North America,6650.5019999999995,21175463434491.637,1.1385599999999991
2015,Oceania,55059.98699999997,1299101614405.794,0.785290441176471
2015,South America,1152.383,6391625133918.571,1.2873
2016,Africa,1337.0870000000007,5635587294637.199,1.3814393939393939
2016,Asia,184652.23500000004,53629621463179.84,1.4923414634146372
2016,Europe,6330.996,25204537078009.81,1.7636122448979574
2016,North America,6516.011,21500012285609.273,1.3035112727272726
2016,Oceania,55146.415999999976,1336295234183.9749,1.2353529411764708
2016,South America,1148.4260000000002,5922122056475.276,1.1104
2017,Africa,1390.056,5841550727640.712,1.281668560606063
2017,Asia,187054.66099999988,55465021324501.55,1.295463414634147
2017,Europe,6405.0830000000005,25927205546447.453,1.5014489795918362
2017,North America,6461.226,22046426481734.086,1.0593912727272727
2017,Oceania,55810.425,1371185152991.293,1.0716029411764716
2017,South America,1126.9740000000002,5944422958516.753,1.141
2018,Africa,1425.731,6044417974733.267,1.074210227272728
2018,Asia,190290.452,57420496992187.17,1.5193902439024405
2018,Europe,6386.268,26527082785368.297,1.9644897959183678
2018,North America,6639.553999999999,22685915427449.516,0.9080490566037731
2018,Oceania,56696.00300000001,1409573227784.355,0.9194779411764703
2018,South America,1096.9559999999997,5941320993440.075,0.9168000000000002
2019,Africa,1448.79,0.0,1.4098768939393962
2019,Asia,189939.70699999997,0.0,1.405634146341467
2019,Europe,6214.003,0.0,1.8744285714285713
2019,North America,6481.175,0.0,1.2687200000000012
2019,Oceania,56472.468000000015,0.0,1.0444072890025569
2019,South America,1085.1070000000002,0.0,1.1135
